"Comment","Designator","Footprint","LCSC Part #"
"Battery","BT1","TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal","C474892"
"10uF","C1,C2","C_1206_3216Metric","C13585"
"100nF","C3,C7,C10,C11,C12,C13,C17,C20,C21,C25","C_0402_1005Metric","C1525"
"100nF HV","C4,C5","C_0603_1608Metric","C14663"
"220nF","C6","C_0402_1005Metric","C16772"
"22uF","C8,C9,C15,C18","C_0805_2012Metric","C45783"
"1uF","C14,C16,C24","C_0402_1005Metric","C52923"
"22pF","C19,C22,C23","C_0402_1005Metric","C1555"
"220uF 35V","C26","CP_Elec_10x10","C134521"
"SS210","D1,D2","D_SMA","C14996"
"BAV70","D3","SOT-23","C68978"
"6.8CA","D4","D_SMB","C78395"
"PWR","D5","LED_0603_1608Metric","C72043"
"SS36","D6","D_SMC","C35722"
"M7","D7","D_SMA","C95872"
"2A","F1","Fuse_1206_3216Metric","C354895"
"100R@100MHz","FB1","L_0805_2012Metric","C1017"
"FTDI_RPI","J3","PinHeader_1x06_P2.54mm_Vertical","C2935912"
"Force on","JP1","PinHeader_1x02_P2.54mm_Horizontal","C2935927"
"User","JP4","PinHeader_1x02_P2.54mm_Horizontal","C2935927"
"47uH","L1","L_Bourns_SRP7028A_7.3x6.6mm","C149588"
"10uH","L2","L_Taiyo-Yuden_MD-4040","C340393"
"AO3401A","Q1,Q2,Q4","SOT-23","C15127"
"2N7002","Q3,Q5","SOT-23","C8545"
"BSS84","Q6","SOT-23","C8492"
"120k","R1,R11,R25,R27,R32","R_0402_1005Metric","C25750"
"10k","R2,R5,R20","R_0402_1005Metric","C25744"
"100k","R3,R4,R7,R9,R19,R26,R29,R30,R31","R_0402_1005Metric","C25741"
"0.1R","R6,R8,R15,R16","R_1206_3216Metric","C25334"
"100R","R10,R12,R14,R21,R22,R23,R24,R34","R_0402_1005Metric","C25076"
"1R","R13","R_1206_3216Metric","C17928"
"15k","R17,R28","R_0402_1005Metric","C25756"
"33k","R33","R_0402_1005Metric","C25779"
"Solar_Cells","SC1","TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal","C474892"
"User","SW1","SW_Push_SPST_NO_Alps_SKRK","C115357"
"CN3767","U1","SSOP-10_3.9x4.9mm_P1.00mm","C81968"
"HT7533","U2","SOT-89-3","C14289"
"SY8113B","U3","SOT-23-6","C78989"
"STM32G031Fx","U4","TSSOP-20_4.4x6.5mm_P0.65mm","C724040"
"32.768kHz","Y1","Crystal_SMD_3215-2Pin_3.2x1.5mm","C32346"
